date,kinetic_score,narrative_volume,sentiment_score
2021-01-01,5,131,0.37674347291529087
2021-01-02,3,90,0.2534270246429743
2021-01-03,5,81,0.15876962986647083
2021-01-04,5,76,0.3375698018345672
2021-01-05,5,87,0.4852278184508938
2021-01-06,2,95,0.33893489132561233
2021-01-07,9,79,0.14167057864631122
2021-01-08,5,111,0.3887748459593357
2021-01-09,4,106,0.3975545127122359
2021-01-10,2,123,0.21017920605443216
2021-01-11,8,47,0.38219025043752236
2021-01-12,1,101,0.27009926495341324
2021-01-13,6,95,0.25731312059602773
2021-01-14,8,85,0.2672337853402232
2021-01-15,4,46,0.3345517943888766
2021-01-16,4,137,0.31745778128318386
2021-01-17,6,102,0.2567390719451987
2021-01-18,3,88,0.2578501779660116
2021-01-19,7,128,0.43923257534919025
2021-01-20,4,101,0.24965243458838007
2021-01-21,2,112,0.1777126463324693
2021-01-22,4,84,0.26779384837943243
2021-01-23,8,71,0.419072725611364
2021-01-24,7,104,0.38474014325766387
2021-01-25,1,103,0.17831451076407606
2021-01-26,5,115,0.42683895224039015
2021-01-27,5,117,0.27604054918061904
2021-01-28,7,100,0.2862728182902184
2021-01-29,5,97,0.3740340817947738
2021-01-30,7,114,0.3092478871551097
2021-01-31,5,121,0.30513608594796354
2021-02-01,10,111,0.4135565640180599
2021-02-02,5,90,0.30818741393863225
2021-02-03,4,82,0.2665182752605266
2021-02-04,4,100,0.23483996523941827
2021-02-05,8,84,0.4661301730608154
2021-02-06,3,118,0.4266406855372875
2021-02-07,7,95,0.48720056804723044
2021-02-08,3,60,0.169980715840656
2021-02-09,3,101,0.5347996928450323
2021-02-10,3,95,0.306089660711716
2021-02-11,10,105,0.23773004801794062
2021-02-12,3,88,0.38496020970210243
2021-02-13,7,114,0.36103702654334646
2021-02-14,10,100,0.3930934083974079
2021-02-15,4,106,0.28698569456323153
2021-02-16,8,86,0.29911829537541923
2021-02-17,5,112,0.4357880788099988
2021-02-18,2,90,0.3232049937357636
2021-02-19,7,85,0.27865528482881524
2021-02-20,6,86,0.2951804514464187
2021-02-21,4,97,0.3401711722098941
2021-02-22,4,101,0.3983504306358465
2021-02-23,7,124,0.4816087790243815
2021-02-24,5,70,0.3784006410914168
2021-02-25,4,106,0.48761708392158865
2021-02-26,9,123,0.2530824347895295
2021-02-27,8,97,0.29445150417023264
2021-02-28,10,102,0.3514438834058749
2021-03-01,4,104,0.5047398921130238
2021-03-02,7,129,0.38778251684801135
2021-03-03,2,121,0.12412605135768856
2021-03-04,7,65,0.29444523011033813
2021-03-05,6,77,0.34876732749232936
2021-03-06,5,83,0.2440974506766143
2021-03-07,2,88,0.18021221074111515
2021-03-08,5,97,0.2779030400466777
2021-03-09,5,69,0.4366874267444525
2021-03-10,3,111,0.3311250154543536
2021-03-11,5,84,0.15777462904023257
