date,kinetic_score,narrative_volume,sentiment_score
2018-01-01,3,37,0.42658630430508193
2018-01-02,0,42,0.5510515284806526
2018-01-03,1,34,0.3974830192821852
2018-01-04,0,42,0.2586719755342202
2018-01-05,1,29,0.4814247332595274
2018-01-06,1,54,0.4274223699513464
2018-01-07,0,65,0.48942330218796015
2018-01-08,0,28,0.4875698018345672
2018-01-09,0,33,0.5447439821046639
2018-01-10,0,33,0.6352278184508938
2018-01-11,0,34,0.4494472137679874
2018-01-12,2,42,0.2540329876120224
2018-01-13,1,47,0.46713682811899704
2018-01-14,0,29,0.29167057864631124
2018-01-15,2,43,0.2736959844637266
2018-01-16,0,45,0.5387748459593358
2018-01-17,2,31,0.41907876241487857
2018-01-18,2,38,0.40896166913136994
2018-01-19,2,39,0.5503532897892024
2018-01-20,0,49,0.5295595463895941
2018-01-21,2,13,0.5321902504375224
2018-01-22,0,25,0.5542491617339421
2018-01-23,2,54,0.39817297817263525
2018-01-24,1,31,0.39982429564154637
2018-01-25,5,40,0.5468644990532889
2018-01-26,3,36,0.30364850518678815
2018-01-27,2,13,0.48455179438887663
2018-01-28,0,36,0.3697722730778381
2018-01-29,2,30,0.5903958738659294
2018-01-30,3,29,0.350741382059681
2018-01-31,0,40,0.6963242112485286
2018-02-01,0,44,0.42409713552611095
2018-02-02,1,43,0.4492619850055427
2018-02-03,1,32,0.5273140855889249
2018-02-04,2,45,0.6690455625809979
2018-02-05,0,35,0.5423162608341953
2018-02-06,0,40,0.39965243458838007
2018-02-07,1,24,0.45685629748060275
2018-02-08,1,30,0.604993440501754
2018-02-09,1,32,0.41779384837943245
2018-02-10,2,50,0.5026448161334696
2018-02-11,2,42,0.5281822871777311
2018-02-12,1,45,0.4796984673233186
2018-02-13,3,42,0.37856485819736324
2018-02-14,0,41,0.3283145107640761
2018-02-15,2,30,0.5287084603742452
2018-02-16,2,44,0.544053558496201
2018-02-17,1,26,0.37282192505067413
2018-02-18,2,42,0.5327183249036024
2018-02-19,3,46,0.36428424435837176
2018-02-20,1,29,0.49824724152431854
2018-02-21,4,38,0.5240340817947738
2018-02-22,4,35,0.5356398794323473
2018-02-23,0,47,0.4592478871551097
2018-02-24,2,40,0.3357029702169377
2018-02-25,4,49,0.3896095627515471
2018-02-26,4,45,0.5635565640180599
2018-02-27,3,32,0.4263181393259991
2018-02-28,1,63,0.2632734807408252
2018-03-01,1,35,0.5588950596967366
2018-03-02,0,55,0.4628551000071081
2018-03-03,0,32,0.4716458589581975
2018-03-04,0,63,0.6343413758320533
2018-03-05,4,33,0.5352433334796224
2018-03-06,1,45,0.5365755194170122
2018-03-07,1,35,0.3846670767426288
2018-03-08,3,61,0.5532465260551147
2018-03-09,1,52,0.3792330534381219
2018-03-10,0,37,0.6372005680472305
2018-03-11,0,7,0.347561235866571
2018-03-12,0,20,0.319980715840656
2018-03-13,2,54,0.30641378488205606
2018-03-14,3,41,0.38997831228412055
2018-03-15,0,46,0.46260948278240294
2018-03-16,2,61,0.2547912200477498
2018-03-17,4,35,0.470759826128572
2018-03-18,2,34,0.5349602097021025
2018-03-19,0,49,0.5952550247462371
2018-03-20,3,45,0.3789872042072516
2018-03-21,3,33,0.5661937317746775
2018-03-22,4,53,0.4521003841632759
2018-03-23,2,37,0.38869053170916223
2018-03-24,4,29,0.3285811387212268
2018-03-25,4,33,0.44911829537541925
2018-03-26,2,31,0.41786141583470066
2018-03-27,0,46,0.5857880788099988
2018-03-28,0,42,0.399305682462887
2018-03-29,0,45,0.537254159143048
2018-03-30,0,25,0.30925362256234445
2018-03-31,4,19,0.6070032280542672
2018-04-01,1,36,0.4495437171009704
2018-04-02,1,52,0.527086310146404
2018-04-03,2,46,0.40987795281141637
2018-04-04,1,42,0.4512592400781795
2018-04-05,0,44,0.4554350577938571
2018-04-06,3,52,0.6316087790243815
2018-04-07,1,38,0.5476309126481103
2018-04-08,1,38,0.31449420444820675
2018-04-09,1,20,0.4862476458805302
2018-04-10,2,26,0.6331458765854354
2018-04-11,2,39,0.4217778811012789
2018-04-12,2,22,0.5853872374165413
2018-04-13,4,38,0.44445150417023266
2018-04-14,8,29,0.4357620514978707
2018-04-15,2,50,0.6041370996918183
2018-04-16,1,42,0.6547398921130239
2018-04-17,3,50,0.46660881325081516
2018-04-18,1,54,0.5377825168480114
2018-04-19,0,50,0.2741260513576886
2018-04-20,1,37,0.5217542255795963
2018-04-21,2,49,0.4830700557063932
2018-04-22,1,39,0.5296405429696327
2018-04-23,1,39,0.4903119327085577
2018-04-24,1,38,0.4424696345244877
2018-04-25,0,43,0.3560120213672645
2018-04-26,0,47,0.4209307691968957
2018-04-27,2,34,0.3707127167737656
2018-04-28,0,25,0.4308467176086707
2018-04-29,1,38,0.4542134081741929
2018-04-30,2,38,0.42790304004667773
2018-05-01,2,34,0.32719459808763757
2018-05-02,2,56,0.42509639604436217
2018-05-03,0,48,0.35120641542034586
2018-05-04,3,55,0.20432529431365207
2018-05-05,1,38,0.4452209122626462
2018-05-06,1,32,0.4149210754827131
2018-05-07,4,40,0.36387157986717367
2018-05-08,2,36,0.3831598031696732
2018-05-09,2,26,0.5062969236690571
2018-05-10,0,35,0.38740070697455997
2018-05-11,0,34,0.3636009230320184
2018-05-12,0,14,0.5184642201555169
2018-05-13,1,43,0.44150911675041676
2018-05-14,2,45,0.35224447552014493
2018-05-15,3,33,0.5070598668593159
2018-05-16,1,23,0.4548084946661382
2018-05-17,0,24,0.5297736314578635
2018-05-18,1,67,0.2888994390044779
2018-05-19,0,31,0.41154444557701747
2018-05-20,0,33,0.5260251094635361
2018-05-21,3,22,0.3467370930965705
2018-05-22,3,41,0.45893939191456495
2018-05-23,0,40,0.4344322764607921
2018-05-24,2,34,0.5088328518460642
2018-05-25,0,43,0.4079015519179737
